Trait	Tissue	TCSC_Cov	TCSC_CovSE	TCSC_CovP	TCSC_CovFDRP	TCSC_PropCov	TCSC_PropCovSE	TCSC_GenomeCov
"Intelligence,BMI"	Tibial Artery	0.000586518	0.002452156	0.40548129	0.9504926	0.017149634	0.071700467	-0.0342
"Intelligence,BMI"	Brain Limbic	-0.000568356	0.002005019	0.38840956	0.9504926	-0.016618599	0.058626287	-0.0342
"Intelligence,BMI"	Brain Cortex	0.00014621	0.001576788	0.46306051	0.9504926	0.004275135	0.046104901	-0.0342
"Intelligence,BMI"	Brain Basal Ganglia	0.000348708	0.002172115	0.4362284	0.9504926	0.010196153	0.063512145	-0.0342
"Intelligence,BMI"	Brain Cereb.	0.002277799	0.002476594	0.17885689	0.8206375	0.066602297	0.072415039	-0.0342
"Intelligence,BMI"	Brain Spinal Cord	0.002380221	0.001717345	0.08287523	0.6881772	0.0695971	0.050214778	-0.0342
"Intelligence,BMI"	Brain Subst. Nigra	-0.001975552	0.001336162	0.06963329	0.6881772	-0.057764678	0.039069053	-0.0342
"Intelligence,BMI"	Breast	-0.002076513	0.00259705	0.21198114	0.8909545	-0.060716746	0.075937125	-0.0342
"Intelligence,BMI"	LCLs	0.002969866	0.001316666	0.01204798	0.6881772	0.086838185	0.038499	-0.0342
"Intelligence,BMI"	Fibroblasts	-0.00067107	0.001695666	0.34614253	0.9504926	-0.019621925	0.049580868	-0.0342
"Intelligence,BMI"	Sigmoid Intestine	-8.63E-05	0.003152613	0.48908	0.97816	-0.002523546	0.09218166	-0.0342
"Intelligence,BMI"	Transverse Intestine	0.001489638	0.00210784	0.23987237	0.8909545	0.043556674	0.061632747	-0.0342
"Intelligence,BMI"	Esophagus Mucosa	0.000684576	0.002351972	0.38550084	0.9504926	0.020016854	0.0687711	-0.0342
"Intelligence,BMI"	Esophagus Muscularis	0.005450094	0.003649898	0.06769005	0.6881772	0.159359461	0.106722159	-0.0342
"Intelligence,BMI"	Heart A. Appen.	-0.000544745	0.002409261	0.4105601	0.9504926	-0.015928202	0.070446214	-0.0342
"Intelligence,BMI"	Heart Left Vent.	0.004432351	0.002963493	0.06737228	0.6881772	0.129600919	0.086651833	-0.0342
"Intelligence,BMI"	Liver	-0.00272361	0.002797136	0.16509934	0.8048593	-0.079637718	0.081787607	-0.0342
"Intelligence,BMI"	Lung	0.001300673	0.00172401	0.22529053	0.8909545	0.038031387	0.050409643	-0.0342
"Intelligence,BMI"	Min. Salivary Gland	-0.000603045	0.00131686	0.32349732	0.9504926	-0.017632888	0.038504693	-0.0342
"Intelligence,BMI"	Muscle Skeletal	-0.002812577	0.002579708	0.13779722	0.7677274	-0.082239094	0.075430059	-0.0342
"Intelligence,BMI"	Tibial Nerve	-0.000380386	0.003296972	0.45407426	0.9504926	-0.011122385	0.096402694	-0.0342
"Intelligence,BMI"	Ovary	-0.003115118	0.001786264	0.04058577	0.6881772	-0.091085313	0.052229955	-0.0342
"Intelligence,BMI"	Pancreas	-0.000747228	0.002065119	0.35873841	0.9504926	-0.021848782	0.060383606	-0.0342
"Intelligence,BMI"	Pituitary	-0.002665704	0.001972041	0.08822785	0.6881772	-0.077944565	0.057662021	-0.0342
"Intelligence,BMI"	Prostate	0.002141148	0.001514798	0.0787562	0.6881772	0.062606658	0.044292328	-0.0342
"Intelligence,BMI"	Skin (sun unexposed)	0.002854721	0.004007011	0.23809881	0.8909545	0.083471362	0.117164057	-0.0342
"Intelligence,BMI"	Skin (sun exposed)	-0.007033304	0.006359633	0.13437857	0.7677274	-0.205652173	0.185954183	-0.0342
"Intelligence,BMI"	Spleen	0.000558631	0.002463123	0.41029048	0.9504926	0.016334239	0.07202115	-0.0342
"Intelligence,BMI"	Stomach	-0.001902646	0.001891942	0.15729019	0.8048593	-0.055632911	0.055319941	-0.0342
"Intelligence,BMI"	Testis	-0.000437233	0.002683792	0.43529231	0.9504926	-0.012784577	0.078473464	-0.0342
"Intelligence,BMI"	Thyroid	-0.000309941	0.002034772	0.43946651	0.9504926	-0.009062588	0.059496271	-0.0342
"Intelligence,BMI"	Uterus	-0.004696207	0.002905568	0.05301706	0.6881772	-0.137315985	0.084958121	-0.0342
"Intelligence,BMI"	Vagina	0.002977408	0.002505338	0.11733286	0.7626636	0.087058705	0.073255485	-0.0342
"Intelligence,BMI"	Whole Blood	-0.000797123	0.00134817	0.27717214	0.9399751	-0.023307695	0.039420188	-0.0342
"Intelligence,BMI"	AllTissues	-0.003342427	0.00290531	0.12497835	1	-0.097731793	0.08495059	-0.0342
"WBC Count,BMI"	Adipose Sub.	-0.00340841	0.003012373	0.12892862	0.791116857	-0.05551157	0.049061451	0.0614
"WBC Count,BMI"	Adipose Visc.	-0.0005242	0.002436953	0.41484281	0.939969621	-0.008537463	0.039689784	0.0614
"WBC Count,BMI"	Adrenal Gland	0.000449215	0.001761202	0.39933768	0.939969621	0.007316209	0.028684064	0.0614
"WBC Count,BMI"	Aorta Artery	0.006246786	0.00408772	0.06323349	0.791116857	0.101739178	0.066575236	0.0614
"WBC Count,BMI"	Coronary Artery	0.000823793	0.002145889	0.35052861	0.939969621	0.013416826	0.034949325	0.0614
