Trait	Tissue	TCSC_h2ge(t')	TCSC_JKSE	TCSC_JKP	TCSC_FDR	pi_(t')	pi_(t')_SE
FVC	Adipose Visc.	-0.005217127	0.004001684	0.903837665	0.991702921	-0.02233359	0.017130495
FVC	Adrenal Gland	0.003434394	0.003461993	0.160591876	0.611018526	0.014702031	0.014820174
FVC	Aorta Artery	0.016658438	0.011191252	0.068306488	0.407421678	0.071311806	0.047907757
FVC	Coronary Artery	0.012524183	0.005808673	0.015537239	0.407421678	0.053613796	0.024865895
FVC	Tibial Artery	0.001510703	0.005113591	0.383833073	0.787867887	0.006467051	0.021890371
FVC	Brain Limbic	0.002979963	0.003967083	0.22627452	0.73539219	0.01275669	0.016982378
FVC	Brain Cortex	-7.57E-04	0.002363427	0.625642195	0.985281683	-0.003240944	0.010117409
FVC	Brain Basal Ganglia	0.003098721	0.00308948	0.157932554	0.611018526	0.013265073	0.013225513
FVC	Brain Cereb.	-0.002567748	0.002874751	0.814126866	0.991702921	-0.010992074	0.012306299
FVC	Brain Spinal Cord	-0.000653719	0.002500253	0.603131576	0.985281683	-0.002798456	0.010703139
FVC	Brain Subst. Nigra	-0.000717031	0.002068612	0.635563244	0.985281683	-0.003069484	0.008855359
FVC	Breast	0.001823339	0.003974085	0.323186313	0.74064691	0.007805388	0.017012349
FVC	LCLs	0.000930699	0.002284177	3.42E-01	0.74064691	0.003984155	0.009778156
FVC	Fibroblasts	0.009246867	0.004944418	3.07E-02	0.407421678	0.039584192	0.021166173
FVC	Sigmoid Intestine	0.009673308	0.006405964	0.065515678	0.407421678	0.041409709	0.027422789
FVC	Transverse Intestine	-0.006672578	0.003450573	0.973428644	0.991702921	-0.028564118	0.014771288
FVC	Esophagus Mucosa	-0.001609145	0.003984084	0.656854455	0.985281683	-0.006888464	0.017055154
FVC	Esophagus Muscularis	0.00768279	0.007302551	0.146383859	0.611018526	0.032888655	0.031260918
FVC	Heart A. Appen.	-0.002781826	0.003780943	0.76905837	0.991702921	-0.011908503	0.016185543
FVC	Heart Left Vent.	0.003377722	0.003574444	0.172338559	0.611018526	0.014459427	0.01530156
FVC	Liver	0.001642839	0.002896269	0.285280275	0.74064691	0.007032703	0.012398411
FVC	Lung	7.04E-03	0.004470362	0.057658104	0.407421678	0.030135543	0.019136823
FVC	Min. Salivary Gland	-0.003977023	0.002099455	0.970908178	0.991702921	-0.017024927	0.008987395
FVC	Muscle Skeletal	0.005998749	0.004128836	0.073126968	0.407421678	0.025679577	0.01767481
FVC	Tibial Nerve	0.007384749	0.004479064	0.04960188	0.407421678	0.031612796	0.019174073
FVC	Ovary	-0.001341952	0.00456306	0.615655522	0.985281683	-0.005744655	0.019533649
FVC	Pancreas	-0.001542856	0.002816588	0.708076733	0.986249735	-0.006604693	0.012057313
FVC	Pituitary	-0.003266784	0.002337059	0.918916233	0.991702921	-0.013984522	0.010004532
FVC	Prostate	0.00294067	0.005987747	0.311672698	0.74064691	0.012588483	0.025632477
FVC	Skin (sun unexposed)	-0.007180142	0.005339435	0.9106451	0.991702921	-0.030736909	0.02285717
FVC	Skin (sun exposed)	0.00357053	0.008183601	0.331308432	0.74064691	0.015284804	0.035032539
FVC	Spleen	0.00143674	0.005993827	0.405280106	0.790296207	0.00615043	0.025658504
FVC	Stomach	-0.007677304	0.003204781	0.991702921	0.991702921	-0.032865171	0.013719095
FVC	Testis	-0.003707071	0.003325167	0.867543185	0.991702921	-0.01586931	0.014234448
FVC	Thyroid	0.002612741	0.004645961	2.87E-01	0.74064691	0.01118468	0.019888532
FVC	Uterus	-0.00133935	0.002812495	0.683039158	0.986249735	-0.00573352	0.012039789
FVC	Vagina	-0.004616873	0.002090418	0.986398372	0.991702921	-0.019764013	0.008948706
FVC	Whole Blood	0.000124503	0.002651648	0.48127534	0.893797059	0.000532974	0.011351232
FVC	AllTissues	0.046230932	0.00557626	5.63E-17	NA	0.197906386	0.023870977
Intelligence	Adipose Sub.	-0.002752366	0.003038849	0.817459678	0.960765079	-0.014805625	0.016346684
Intelligence	Adipose Visc.	1.82E-03	0.003455564	0.299160732	0.835777555	0.009792608	0.018588293
Intelligence	Adrenal Gland	-0.000622878	0.003007144	0.582046874	0.835777555	-0.003350607	0.016176139
Intelligence	Aorta Artery	-0.005271267	0.003155912	0.952568345	0.977635933	-0.028355391	0.016976395
Intelligence	Coronary Artery	0.002929799	0.002274022	0.098807309	0.64224751	0.015760078	0.012232501
Intelligence	Tibial Artery	-0.000128916	0.002918762	0.517614796	0.835777555	-0.00069347	0.015700708
Intelligence	Brain Limbic	0.002618404	0.002670615	0.163432064	0.769537953	0.014085016	0.014365871
Intelligence	Brain Cortex	0.000146632	0.002229961	0.473786365	0.835777555	0.000788766	0.011995487
Intelligence	Brain Basal Ganglia	-0.000816675	0.003222047	6.00E-01	0.835777555	-0.004393089	0.017332153
Intelligence	Brain Cereb.	0.008131904	0.003609689	0.01213591	0.217982053	0.043743434	0.01941737
Intelligence	Brain Spinal Cord	-0.000387718	0.001939707	0.579214703	0.835777555	-0.002085627	0.010434141
Intelligence	Brain Subst. Nigra	0.003323245	0.004588133	0.234436762	0.831184884	0.017876518	0.024680649
Intelligence	Breast	0.008111897	0.003692917	0.014024158	0.217982053	0.043635812	0.019865071
Intelligence	LCLs	0.000416049	0.001847751	0.410925506	0.835777555	0.002238023	0.009939487
Intelligence	Fibroblasts	8.86E-04	0.003956685	0.41137986	0.835777555	0.004767537	0.021283941
Intelligence	Sigmoid Intestine	0.00502989	0.004463178	0.129876505	0.723597673	0.027056968	0.024008488
Intelligence	Transverse Intestine	0.001187779	0.003489858	0.366795885	0.835777555	0.006389343	0.018772772
