Trait_Nickname	Trait_Fullname	Tissue	TCSC_Cov	TCSC_CovSE	TCSC_CovP	TCSC_CovFDRP	TCSC_PropCov	TCSC_PropCovSE	TCSC_GenomeCov
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Thyroid	0.001748429	0.002281894	0.22177325	0.8721595	-0.0425408515815085	0.0555205328962501	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Uterus	-0.001401611	0.002957634	0.31778697	0.9187222	0.0341024574209246	0.0719618922139353	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Vagina	0.001832404	0.001963261	0.17532037	0.8721595	-0.0445840389294404	0.0477679044244749	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	Whole Blood	0.0001052111	0.001989796	0.47891561	0.9941346	-0.00255988077858881	0.0484135163065728	-0.0411
BMI,FVC	UKB_460K.body_BMIz,UKB_460K.lung_FVCzSMOKE	AllTissues	-0.005286151	0.003277167	0.05336955	1	0.128616812652068	0.0797364138117934	-0.0411
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Adipose Sub.	0.0007425355	0.002409468	0.37897497	0.9504926	-0.0217115643274854	0.0704522873116678	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Adipose Visc.	-0.00318635	0.00249732	0.10099409	0.7161399	0.0931681286549708	0.0730210635827134	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Adrenal Gland	0.0009560077	0.001531561	0.26624662	0.9399751	-0.0279534415204678	0.0447824983628532	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Aorta Artery	-0.002065214	0.003809317	0.29385823	0.9504926	0.0603863742690059	0.111383550077524	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Coronary Artery	0.003758694	0.002489472	0.06554265	0.6881772	-0.109903333333333	0.0727915656307415	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Tibial Artery	0.0005865175	0.002452156	0.40548129	0.9504926	-0.017149634502924	0.0717004665904906	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Brain Limbic	-0.0005683561	0.002005019	0.38840956	0.9504926	0.0166185994152047	0.0586262866049696	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Brain Cortex	0.0001462096	0.001576788	0.46306051	0.9504926	-0.00427513450292398	0.0461049005149558	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Brain Basal Ganglia	0.0003487084	0.002172115	0.4362284	0.9504926	-0.0101961520467836	0.0635121449179006	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Brain Cereb.	0.002277799	0.002476594	0.17885689	0.8206375	-0.0666023099415205	0.0724150385500053	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Brain Spinal Cord	0.002380221	0.001717345	0.08287523	0.6881772	-0.0695971052631579	0.0502147784742751	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Brain Subst. Nigra	-0.001975552	0.001336162	0.06963329	0.6881772	0.0577646783625731	0.0390690533034833	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Breast	-0.002076513	0.00259705	0.21198114	0.8909545	0.0607167543859649	0.0759371248633638	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	LCLs	0.002969866	0.001316666	0.01204798	0.6881772	-0.0868381871345029	0.0384990002027269	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Fibroblasts	-0.0006710698	0.001695666	0.34614253	0.9504926	0.0196219239766082	0.0495808676873009	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Sigmoid Intestine	-8.630526e-05	0.003152613	0.48908	0.97816	0.00252354561403509	0.0921816598662377	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Transverse Intestine	0.001489638	0.00210784	0.23987237	0.8909545	-0.0435566666666667	0.0616327473430594	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Esophagus Mucosa	0.0006845764	0.002351972	0.38550084	0.9504926	-0.0200168538011696	0.0687710996025582	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Esophagus Muscularis	0.005450094	0.003649898	0.06769005	0.6881772	-0.159359473684211	0.106722159475742	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Heart A. Appen.	-0.0005447445	0.002409261	0.4105601	0.9504926	0.015928201754386	0.0704462142891664	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Heart Left Vent.	0.004432351	0.002963493	0.06737228	0.6881772	-0.129600906432749	0.08665183271165	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Liver	-0.00272361	0.002797136	0.16509934	0.8048593	0.0796377192982456	0.0817876067158971	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Lung	0.001300673	0.00172401	0.22529053	0.8909545	-0.0380313742690058	0.0504096431393968	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Min. Salivary Gland	-0.0006030448	0.00131686	0.32349732	0.9504926	0.0176328888888889	0.0385046929390518	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Muscle Skeletal	-0.002812577	0.002579708	0.13779722	0.7677274	0.0822390935672515	0.0754300592955863	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Tibial Nerve	-0.0003803856	0.003296972	0.45407426	0.9504926	0.0111223859649123	0.0964026941517784	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Ovary	-0.003115118	0.001786264	0.04058577	0.6881772	0.0910853216374269	0.0522299551175018	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Pancreas	-0.0007472283	0.002065119	0.35873841	0.9504926	0.0218487807017544	0.0603836063098968	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Pituitary	-0.002665704	0.001972041	0.08822785	0.6881772	0.0779445614035088	0.0576620210309325	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Prostate	0.002141148	0.001514798	0.0787562	0.6881772	-0.0626066666666667	0.0442923280482544	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Skin (sun unexposed)	0.002854721	0.004007011	0.23809881	0.8909545	-0.0834713742690058	0.117164056581976	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Skin (sun exposed)	-0.007033304	0.006359633	0.13437857	0.7677274	0.20565216374269	0.185954183061282	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Spleen	0.000558631	0.002463123	0.41029048	0.9504926	-0.0163342397660819	0.0720211498887523	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Stomach	-0.001902646	0.001891942	0.15729019	0.8048593	0.0556329239766082	0.055319940730467	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Testis	-0.0004372325	0.002683792	0.43529231	0.9504926	0.0127845760233918	0.0784734642664751	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Thyroid	-0.0003099405	0.002034772	0.43946651	0.9504926	0.00906258771929824	0.0594962705922266	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Uterus	-0.004696207	0.002905568	0.0530170599999999	0.6881772	0.137315994152047	0.0849581214429629	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Vagina	0.002977408	0.002505338	0.11733286	0.7626636	-0.0870587134502924	0.0732554845938515	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	Whole Blood	-0.0007971232	0.00134817	0.27717214	0.9399751	0.0233076959064327	0.0394201877797056	-0.0342
Intelligence,BMI	PASS_Intelligence_SavageJansen2018,UKB_460K.body_BMIz	AllTissues	-0.003342427	0.00290531	0.12497835	1	0.097731783625731	0.0849505895060784	-0.0342
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Adipose Sub.	-0.00340841	0.003012373	0.12892862	0.791116857	-0.0555115635179153	0.0490614513942731	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Adipose Visc.	-0.0005242002	0.002436953	0.41484281	0.939969621	-0.00853746254071661	0.0396897837352306	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Adrenal Gland	0.0004492152	0.001761202	0.39933768	0.939969621	0.00731620846905537	0.0286840640857422	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Aorta Artery	0.006246786	0.00408772	0.06323349	0.791116857	0.101739185667752	0.0665752361566	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Coronary Artery	0.0008237931	0.002145889	0.35052861	0.939969621	0.013416825732899	0.0349493246027016	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Tibial Artery	-0.0005866138	0.002961455	0.42149007	0.939969621	-0.00955397068403909	0.0482321680524793	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Brain Limbic	-0.001517049	0.002330983	0.25758157	0.87722223	-0.0247076384364821	0.0379638883027596	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Brain Cortex	-0.001417789	0.001883037	0.2257469	0.87722223	-0.0230910260586319	0.0306683491682177	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Brain Basal Ganglia	0.002076507	0.002410029	0.19445082	0.87722223	0.033819332247557	0.0392512807274826	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Brain Cereb.	0.001070803	0.002153227	0.30948824	0.939969621	0.0174397882736156	0.0350688515243376	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Brain Spinal Cord	-0.0002303753	0.002180755	0.45793392	0.939969621	-0.00375204071661238	0.03551717643372	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Brain Subst. Nigra	0.001978862	0.003227783	0.26991453	0.87722223	0.0322290228013029	0.0525697569880691	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Breast	-0.009973491	0.002532961	4.11700000000348e-05	0.003211297	-0.162434706840391	0.0412534434204967	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	LCLs	-0.0008963168	0.001335904	0.25112817	0.87722223	-0.014597993485342	0.0217574004216243	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Fibroblasts	-0.003244552	0.001903276	0.04412333	0.791116857	-0.0528428664495114	0.0309979755954093	0.0614
WBC Count,BMI	UKB_460K.blood_WHITE_COUNT,UKB_460K.body_BMIz	Sigmoid Intestine	-0.001569876	0.002201512	0.23789505	0.87722223	-0.025568013029316	0.0358552391711741	0.0614
