Trait	Trait_Nickname	Tissue	TCSC_h2	TCSC_JKSE	TCSC_JKP	TCSC_FDRP	prop_h2g	prop_h2g_se
UKB_460K.lung_FVCzSMOKE	FVC	Colon_Sigmoid	 0.0096733080	0.006405964	6.551568e-02	0.4074217	0.041409709068888	0.0274227894949045
UKB_460K.lung_FVCzSMOKE	FVC	Colon_Transverse	-0.0066725780	0.003450573	9.734286e-01	0.9917029	-0.0285641180885892	0.0147712882175164
UKB_460K.lung_FVCzSMOKE	FVC	Esophagus_Mucosa	-0.0016091453	0.003984084	6.568545e-01	0.9852817	-0.00688846446133763	0.0170551536439638
UKB_460K.lung_FVCzSMOKE	FVC	Esophagus_Muscularis	 0.0076827898	0.007302551	1.463839e-01	0.6110185	0.0328886551620082	0.0312609183703143
UKB_460K.lung_FVCzSMOKE	FVC	Heart_Atrial_Appendage	-0.0027818263	0.003780943	7.690584e-01	0.9917029	-0.0119085028330351	0.016185543475227
UKB_460K.lung_FVCzSMOKE	FVC	Heart_Left_Ventricle	 0.0033777222	0.003574444	1.723386e-01	0.6110185	0.0144594270335955	0.0153015595222104
UKB_460K.lung_FVCzSMOKE	FVC	Liver	 0.0016428394	0.002896269	2.852803e-01	0.7406469	0.00703270284371798	0.0123984110379738
UKB_460K.lung_FVCzSMOKE	FVC	Lung	 0.0070396628	0.004470362	5.765810e-02	0.4074217	0.0301355426914965	0.0191368231387678
UKB_460K.lung_FVCzSMOKE	FVC	Minor_Salivary_Gland	-0.0039770230	0.002099455	9.709082e-01	0.9917029	-0.0170249274230886	0.00898739481020967
UKB_460K.lung_FVCzSMOKE	FVC	Muscle_Skeletal	 0.0059987493	0.004128836	7.312697e-02	0.4074217	0.0256795772899191	0.0176748096815441
UKB_460K.lung_FVCzSMOKE	FVC	Nerve_Tibial	 0.0073847490	0.004479064	4.960188e-02	0.4074217	0.0316127955513543	0.0191740734936166
UKB_460K.lung_FVCzSMOKE	FVC	Ovary	-0.0013419515	0.004563060	6.156555e-01	0.9852817	-0.00574465541436695	0.0195336492038485
UKB_460K.lung_FVCzSMOKE	FVC	Pancreas	-0.0015428562	0.002816588	7.080767e-01	0.9862497	-0.00660469260453818	0.0120573133911233
UKB_460K.lung_FVCzSMOKE	FVC	Pituitary	-0.0032667843	0.002337059	9.189162e-01	0.9917029	-0.0139845217728935	0.0100045322882896
UKB_460K.lung_FVCzSMOKE	FVC	Prostate	 0.0029406697	0.005987747	3.116727e-01	0.7406469	0.0125884834904452	0.0256324765902661
UKB_460K.lung_FVCzSMOKE	FVC	Skin_Not_Sun_Exposed_Suprapubic	-0.0071801419	0.005339435	9.106451e-01	0.9917029	-0.030736908627325	0.0228571696003542
UKB_460K.lung_FVCzSMOKE	FVC	Skin_Sun_Exposed_Lower_leg	 0.0035705302	0.008183601	3.313084e-01	0.7406469	0.0152848038849121	0.0350325389670877
UKB_460K.lung_FVCzSMOKE	FVC	Spleen	 0.0014367405	0.005993827	4.052801e-01	0.7902962	0.00615043021625471	0.025658504025223
UKB_460K.lung_FVCzSMOKE	FVC	Stomach	-0.0076773039	0.003204781	9.917029e-01	0.9917029	-0.0328651708148894	0.0137190954136462
UKB_460K.lung_FVCzSMOKE	FVC	Testis	-0.0037070709	0.003325167	8.675432e-01	0.9917029	-0.015869310205323	0.0142344481163101
UKB_460K.lung_FVCzSMOKE	FVC	Thyroid	 0.0026127411	0.004645961	2.869326e-01	0.7406469	0.0111846795281253	0.0198885324737318
UKB_460K.lung_FVCzSMOKE	FVC	Uterus	-0.0013393503	0.002812495	6.830392e-01	0.9862497	-0.0057335202954467	0.0120397892773181
UKB_460K.lung_FVCzSMOKE	FVC	Vagina	-0.0046168734	0.002090418	9.863984e-01	0.9917029	-0.0197640128753584	0.00894870649257286
UKB_460K.lung_FVCzSMOKE	FVC	Whole_Blood	 0.0001245028	0.002651648	4.812753e-01	0.8937971	0.000532974488294332	0.0113512316256405
UKB_460K.lung_FVCzSMOKE	FVC	AllTissues	 0.0462309318	0.005576260	5.630625e-17	NA	0.197906386009245	0.0238709767396701
PASS_Intelligence_SavageJansen2018	Intelligence	Adipose_Subcutaneous	-0.0027523657	0.003038849	8.174597e-01	0.9607651	-0.0148056249128677	0.0163466844150376
PASS_Intelligence_SavageJansen2018	Intelligence	Adipose_Visceral_Omentum	 0.0018204458	0.003455564	2.991607e-01	0.8357776	0.00979260772965245	0.0185882931473571
PASS_Intelligence_SavageJansen2018	Intelligence	Adrenal_Gland	-0.0006228778	0.003007144	5.820469e-01	0.8357776	-0.00335060689180739	0.0161761394462416
PASS_Intelligence_SavageJansen2018	Intelligence	Artery_Aorta	-0.0052712672	0.003155912	9.525683e-01	0.9776359	-0.0283553911705989	0.0169763954379417
PASS_Intelligence_SavageJansen2018	Intelligence	Artery_Coronary	 0.0029297985	0.002274022	9.880731e-02	0.6422475	0.0157600781410167	0.0122325011468381
PASS_Intelligence_SavageJansen2018	Intelligence	Artery_Tibial	-0.0001289162	0.002918762	5.176148e-01	0.8357776	-0.000693470479467348	0.0157007079656627
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Limbic	 0.0026184044	0.002670615	1.634321e-01	0.7695380	0.0140850156146308	0.0143658709859857
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Cortex	 0.0001466315	0.002229961	4.737864e-01	0.8357776	0.000788765590389333	0.0119954873486765
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_BasalGanglia	-0.0008166752	0.003222047	6.000454e-01	0.8357776	-0.00439308863856379	0.017332153156098
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Cerebellum	 0.0081319044	0.003609689	1.213591e-02	0.2179821	0.0437434341628803	0.0194173702336775
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Spinal_cord_cervical_c-1	-0.0003877181	0.001939707	5.792147e-01	0.8357776	-0.00208562741055258	0.0104341414839895
PASS_Intelligence_SavageJansen2018	Intelligence	Brain_Substantia_nigra	 0.0033232447	0.004588133	2.344368e-01	0.8311849	0.0178765181900389	0.0246806494332287
PASS_Intelligence_SavageJansen2018	Intelligence	Breast_Mammary_Tissue	 0.0081118974	0.003692917	1.402416e-02	0.2179821	0.0436358116252456	0.0198650706947512
PASS_Intelligence_SavageJansen2018	Intelligence	Cells_EBV-transformed_lymphocytes	 0.0004160485	0.001847751	4.109255e-01	0.8357776	0.00223802336727803	0.00993948698298585
PASS_Intelligence_SavageJansen2018	Intelligence	Cells_Cultured_fibroblasts	 0.0008862851	0.003956685	4.113799e-01	0.8357776	0.00476753670747178	0.0212839411777456
PASS_Intelligence_SavageJansen2018	Intelligence	Colon_Sigmoid	 0.0050298904	0.004463178	1.298765e-01	0.7235977	0.0270569681216079	0.0240084880584387
PASS_Intelligence_SavageJansen2018	Intelligence	Colon_Transverse	 0.0011877788	0.003489858	3.667959e-01	0.8357776	0.00638934274096912	0.0187727717878574
PASS_Intelligence_SavageJansen2018	Intelligence	Esophagus_Mucosa	-0.0029959956	0.003776131	7.862286e-01	0.9607651	-0.0161161678272167	0.0203127011472909
PASS_Intelligence_SavageJansen2018	Intelligence	Esophagus_Muscularis	 0.0014381639	0.003361591	3.343902e-01	0.8357776	0.00773622311309919	0.018082789814573
PASS_Intelligence_SavageJansen2018	Intelligence	Heart_Atrial_Appendage	 0.0007657195	0.003642413	4.167468e-01	0.8357776	0.0041189860993242	0.0195933977619617
PASS_Intelligence_SavageJansen2018	Intelligence	Heart_Left_Ventricle	 0.0008597204	0.002861717	3.819280e-01	0.8357776	0.00462463905465152	0.0153938516500742
PASS_Intelligence_SavageJansen2018	Intelligence	Liver	 0.0018851852	0.002214629	1.973174e-01	0.7695380	0.0101408561188086	0.0119130097224001
PASS_Intelligence_SavageJansen2018	Intelligence	Lung	-0.0030959149	0.002839323	8.622251e-01	0.9607651	-0.0166536572941598	0.0152733895543474
PASS_Intelligence_SavageJansen2018	Intelligence	Minor_Salivary_Gland	-0.0013697345	0.001809905	7.754148e-01	0.9607651	-0.00736812534362114	0.00973590845683254
PASS_Intelligence_SavageJansen2018	Intelligence	Muscle_Skeletal	 0.0056453160	0.002655856	1.676785e-02	0.2179821	0.0303674878731811	0.0142864777790324
PASS_Intelligence_SavageJansen2018	Intelligence	Nerve_Tibial	 0.0057086241	0.003888661	7.104970e-02	0.5541876	0.030708037273953	0.0209180281759072
PASS_Intelligence_SavageJansen2018	Intelligence	Ovary	-0.0029082149	0.002029043	9.241131e-01	0.9776359	-0.0156439749502467	0.0109146995219542
PASS_Intelligence_SavageJansen2018	Intelligence	Pancreas	 0.0003845569	0.002292061	4.333790e-01	0.8357776	0.00206862259702695	0.0123295354660272
PASS_Intelligence_SavageJansen2018	Intelligence	Pituitary	-0.0006863429	0.002920913	5.928861e-01	0.8357776	-0.00369200033938732	0.0157122799108618
PASS_Intelligence_SavageJansen2018	Intelligence	Prostate	-0.0055027435	0.002186029	9.940860e-01	0.9940860	-0.0296005566449598	0.0117591635429248
PASS_Intelligence_SavageJansen2018	Intelligence	Skin_Not_Sun_Exposed_Suprapubic	-0.0033696255	0.003847416	8.094348e-01	0.9607651	-0.0181260113596222	0.0206961586028543
PASS_Intelligence_SavageJansen2018	Intelligence	Skin_Sun_Exposed_Lower_leg	 0.0076749606	0.004378223	3.980227e-02	0.3880721	0.0412854256209223	0.0235514957346095
PASS_Intelligence_SavageJansen2018	Intelligence	Spleen	 0.0026269037	0.002933766	1.852858e-01	0.7695380	0.0141307353486328	0.015781419778621
PASS_Intelligence_SavageJansen2018	Intelligence	Stomach	-0.0014552940	0.002148889	7.508703e-01	0.9607651	-0.0078283701867716	0.0115593813935715
